461,635,2
122,68,3
423,729,2
147,82,3
609,627,0
459,706,2
644,142,4
459,741,2
544,415,1
141,66,3
593,118,4
530,463,1
621,131,4
620,184,4
366,728,2
658,162,4
105,1,3
512,487,1
604,378,1
464,492,1
472,694,2
505,680,2
99,69,3
143,33,3
173,80,3
550,732,0
563,618,0
154,97,3
573,656,0
608,174,4
132,99,3
625,128,4
603,642,0
632,609,0
580,140,4
112,37,3
679,130,4
536,379,1
488,737,2
95,68,3
426,660,2
477,386,1
672,636,0
669,155,4
144,108,3
170,75,3
478,713,2
639,95,4
102,49,3
497,477,1
637,691,0
461,691,2
654,188,4
599,144,4
439,716,2
583,455,1
493,385,1
650,147,4
431,690,2
382,682,2
445,645,2
638,100,4
141,13,3
148,39,3
646,623,0
518,421,1
407,690,2
508,397,1
616,671,0
535,454,1
150,47,3
197,45,3
516,428,1
459,690,2
674,132,4
480,449,1
624,153,4
641,655,0
431,647,2
536,452,1
476,692,2
442,688,2
420,673,2
624,687,0
574,659,0
663,113,4
141,67,3
474,753,2
469,641,2
451,726,2
611,633,0
606,163,4
614,173,4
660,133,4
593,636,0
515,436,1
114,28,3
525,402,1
448,632,2
634,199,4
666,585,0
671,143,4
529,524,1
173,26,3
129,48,3
605,166,4
124,52,3
138,55,3
601,590,0
456,678,2
98,56,3
653,172,4
125,25,3
122,127,3
654,126,4
448,668,2
453,739,2
505,438,1
638,125,4
458,673,2
539,431,1
386,747,2
410,696,2
551,365,1
651,135,4
406,632,2
650,620,0
428,696,2
570,446,1
534,471,1
559,425,1
498,397,1
538,436,1
563,467,1
105,83,3
123,76,3
155,95,3
223,107,3
127,54,3
93,77,3
561,445,1
406,698,2
482,703,2
620,147,4
594,692,0
630,119,4
600,645,0
155,94,3
646,656,0
657,666,0
374,685,2
651,167,4
679,171,4
129,45,3
566,445,1
610,638,0
538,445,1
562,408,1
391,767,2
514,715,2
629,153,4
478,675,2
130,43,3
583,368,1
103,28,3
617,98,4
134,117,3
544,407,1
561,452,1
618,140,4
135,65,3
648,681,0
191,48,3
132,42,3
162,27,3
407,693,2
546,406,1
534,424,1
534,401,1
95,103,3
525,440,1
460,688,2
479,688,2
642,153,4
434,718,2
399,682,2
630,753,0
179,103,3
150,67,3
447,722,2
567,614,0
531,432,1
517,448,1
524,429,1
667,102,4
665,128,4
110,158,3
611,629,0
636,145,4
593,695,0
632,135,4
631,644,0
148,138,3
462,451,1
464,669,2
649,130,4
171,84,3
621,140,4
149,107,3
581,147,4
631,155,4
638,179,4
470,430,1
139,115,3
648,188,4
624,681,0
425,678,2
112,97,3
460,704,2
164,88,3
481,421,1
439,695,2
492,460,1
547,448,1
118,26,3
157,82,3
578,411,1
620,632,0
84,101,3
460,712,2
138,108,3
424,704,2
523,371,1
400,683,2
115,88,3
453,693,2
682,163,4
103,85,3
593,644,0
661,129,4
504,417,1
673,132,4
421,729,2
154,42,3
141,48,3
412,675,2
605,615,0
513,405,1
508,433,1
187,74,3
118,48,3
470,668,2
624,628,0
535,638,0
483,471,1
540,405,1
700,77,4
471,751,2
545,429,1
562,397,1
137,22,3
101,95,3
464,689,2
414,712,2
560,103,4
542,411,1
604,649,0
459,702,2
632,600,0
399,744,2
146,86,3
649,146,4
536,378,1
651,642,0
639,679,0
146,56,3
657,139,4
86,86,3
100,48,3
513,450,1
445,735,2
578,439,1
615,615,0
591,151,4
411,594,2
593,653,0
609,121,4
661,165,4
165,53,3
589,420,1
437,715,2
623,608,0
524,446,1
176,36,3
620,595,0
725,126,4
630,90,4
141,52,3
109,17,3
581,710,0
489,414,1
631,143,4
586,670,0
623,452,1
688,146,4
628,618,0
600,436,1
514,465,1
118,25,3
635,674,0
524,456,1
633,667,0
638,218,4
585,668,0
645,131,4
82,132,3
454,694,2
451,669,2
586,651,0
123,97,3
463,660,2
628,134,4
555,366,1
107,90,3
621,607,0
99,60,3
604,626,0
100,52,3
642,158,4
450,690,2
121,84,3
602,119,4
435,685,2
424,721,2
136,100,3
552,689,0
171,33,3
443,727,2
477,641,2
109,24,3
603,643,0
520,447,1
509,416,1
536,433,1
82,101,3
613,608,0
617,667,0
620,659,0
617,626,0
569,623,0
453,643,2
456,641,2
126,60,3
105,74,3
624,155,4
146,105,3
473,705,2
469,640,2
415,684,2
635,695,0
573,648,0
512,441,1
172,102,3
633,105,4
606,659,0
481,693,2
144,101,3
534,450,1
552,473,1
613,133,4
505,401,1
100,66,3
533,487,1
455,724,2
579,651,0
662,167,4
614,120,4
611,675,0
490,677,2
661,123,4
667,164,4
422,710,2
608,92,4
601,227,4
564,500,1
121,53,3
453,728,2
588,626,0
539,418,1
455,701,2
85,83,3
404,617,2
430,695,2
599,628,0
576,644,0
398,700,2
592,173,4
612,624,0
448,672,2
620,615,0
472,685,2
113,68,3
128,54,3
138,73,3
480,711,2
651,154,4
576,410,1
637,166,4
106,30,3
416,678,2
480,470,1
491,672,2
606,679,0
530,471,1
423,701,2
458,678,2
534,383,1
658,90,4
640,574,0
511,423,1
613,228,4
143,71,3
107,84,3
142,57,3
586,687,0
662,143,4
59,34,3
519,494,1
628,661,0
579,164,4
461,708,2
579,552,0
643,177,4
424,673,2
571,596,0
649,638,0
573,590,0
594,147,4
649,152,4
465,688,2
561,447,1
591,131,4
430,708,2
671,609,0
633,182,4
585,626,0
520,507,1
606,147,4
123,79,3
603,645,0
609,144,4
505,405,1
570,443,1
155,89,3
599,653,0
517,458,1
585,120,4
194,86,3
602,629,0
695,142,4
76,101,3
618,131,4
494,446,1
626,650,0
505,399,1
593,660,0
643,593,0
546,434,1
665,678,0
620,420,1
622,129,4
414,686,2
610,624,0
492,411,1
121,55,3
444,659,2
122,117,3
678,669,0
657,138,4
424,667,2
594,634,0
611,651,0
133,12,3
480,641,2
618,117,4
592,674,0
544,392,1
136,8,3
618,654,0
421,634,2
644,177,4
181,96,3
521,436,1
483,639,2
629,653,0
614,158,4
617,644,0
468,746,2
433,769,2
460,701,2
602,93,4
131,132,3
630,113,4
634,172,4
624,662,0
421,779,2
669,150,4
